"RefDes";"Name";"Value";"Quantity"
"U10, U11";"8253";"K580VI53";"2"
"J1";"87758-16";;"1"
"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C22, C27_1, C27_2, C27_3, C27_4, C27_5, C27_6, C29, C40, C41, C42, C49, C51";"CAP200";"0.1uF";"33"
"C21, C59, C60, C61";"CAP200";"330";"4"
"C24_1, C24_2, C24_3, C24_4, C24_5, C24_6, C32, C55, C56, C64";"CAP200";"22nF";"10"
"C25_1, C25_2, C25_3, C25_4, C25_5, C25_6, C50";"CAP200";"47nF";"7"
"C26_1, C26_2, C26_3, C26_4, C26_5, C26_6, C31, C34, C36";"CAP200";"3.3nF";"9"
"C30, C53";"CAP200";"33nF";"2"
"C33, C52";"CAP200";"15nF";"2"
"C38, C63";"CAP200";"33";"2"
"C44";"CAP200";"150";"1"
"C48";"CAP200";"0.15uF";"1"
"C54";"CAP200";"10nF";"1"
"C62";"CAP200";"1nF";"1"
"U21";"CD4030CN";"561Àœ2";"1"
"U25, U27";"CD4066BCN";;"2"
"U23_1, U23_2, U23_3, U23_4, U23_5, U23_6";"CD4066BE";"561 “3";"6"
"D1, D2_1, D2_2, D2_3, D2_4, D2_5, D2_6, D3_1, D3_2, D3_3, D3_4, D3_5, D3_6, D4, D5, D6, D7, D8, D9, D10, D11";"DIODE";;"21"
"ISA1";"ISA 8-bit";;"1"
"U24";"K157UD2";;"1"
"U26";"K561LN2";;"1"
"U22";"MC14006BCP";"176»≈10";"1"
"C23_1, C23_2, C23_3, C23_4, C23_5, C23_6, C46, C57";"POLCAP";"5uF";"8"
"C28, C39";"POLCAP";"100uF";"2"
"C35, C43, C45, C65";"POLCAP";"10uF";"4"
"C37, C47, C58";"POLCAP";"1uF";"3"
"R1";"RES10SIPB";"4.7k";"1"
"R2, R3, R12_1, R12_2, R12_3, R12_4, R12_5, R12_6, R28, R31, R41, R42, R52, R68, R69, R70";"RES400";"47K";"16"
"R4_1, R4_2, R4_3, R4_4, R4_5, R4_6, R5_1, R5_2, R5_3, R5_4, R5_5, R5_6, R35, R40, R57, R62";"RES400";"2.2K";"16"
"R6_1, R6_2, R6_3, R6_4, R6_5, R6_6";"RES400";"510";"6"
"R7_1, R7_2, R7_3, R7_4, R7_5, R7_6, R17_1, R17_2, R17_3, R17_4, R17_5, R17_6, R18_1, R18_2, R18_3, R18_4, R18_5, R18_6, R19_1, R19_2, R19_3, R19_4, R19_5, R19_6, R27, R30, R60";"RES400";"24K";"27"
"R8_1, R8_2, R8_3, R8_4, R8_5, R8_6, R13_1, R13_2, R13_3, R13_4, R13_5, R13_6, R14_1, R14_2, R14_3, R14_4, R14_5, R14_6, R15_1, R15_2, R15_3, R15_4, R15_5, R15_6, R54, R64";"RES400";"150K";"26"
"R9_1, R9_2, R9_3, R9_4, R9_5, R9_6";"RES400";"120K";"6"
"R10_1, R10_2, R10_3, R10_4, R10_5, R10_6, R22, R45, R51";"RES400";"68K";"9"
"R11_1, R11_2, R11_3, R11_4, R11_5, R11_6, R37";"RES400";"15K";"7"
"R16_1, R16_2, R16_3, R16_4, R16_5, R16_6, R21, R24, R26, R49, R59";"RES400";"10K";"11"
"R20";"RES400";"100";"1"
"R23, R25, R36, R38";"RES400";"33K";"4"
"R29";"RES400";"18";"1"
"R32, R46, R47";"RES400";"100K";"3"
"R33, R34, R71, R72";"RES400";"5.6K";"4"
"R39, R61";"RES400";"1K";"2"
"R43, R66";"RES400";"510K";"2"
"R44, R53, R55";"RES400";"680K";"3"
"R48, R63";"RES400";"240K";"2"
"R50";"RES400";"3.3K";"1"
"R56";"RES400";"360K";"1"
"R58";"RES400";"67K";"1"
"R65, R67";"RES400";"330K";"2"
"J2";"SJ1-3525N";;"1"
"U6, U20";"SN74LS04N";;"2"
"U4";"SN74LS08N";;"1"
"U2, U3";"SN74LS138N";;"2"
"U1";"SN74LS245N";;"1"
"U5";"SN74LS32N";;"1"
"U12, U13, U14, U15, U16, U17, U18, U19";"SN74LS373N";;"8"
"U9";"SN74LS74AN";;"1"
"U7";"SN74LS90N";;"1"
"U8";"SN74LS93N";;"1"
"V“1_1, V“1_2, V“1_3, V“1_4, V“1_5, V“1_6, V“2_1, V“2_2, V“2_3, V“2_4, V“2_5, V“2_6, V“3, V“4, V“5, V“6, V“7";" “315";;"17"
